,player,pl_acc,pl_pps,min_start,min_end,shots_count,shots_made,shots_freq,shots_acc
0,CJ Miles [TOR],35.483870967741936,92.1146953405018,1,1,0,0,0.0,0.0
1,Delon Wright [TOR],43.12977099236641,95.22900763358778,1,1,0,0,0.0,0.0
2,Marc Gasol [TOR],44.85981308411215,101.16822429906543,1,1,6,1,5.084745762711864,16.666666666666664
3,Jeremy Lin [TOR],42.91417165668663,95.80838323353294,1,1,0,0,0.0,0.0
4,Norman Powell [TOR],47.8494623655914,111.29032258064515,1,1,1,0,0.847457627118644,0.0
5,Greg Monroe [TOR],49.09090909090909,98.7878787878788,1,1,1,1,0.847457627118644,100.0
6,Jonas Valanciunas [TOR],55.787476280834916,114.04174573055028,1,1,4,3,3.389830508474576,75.0
7,OG Anunoby [TOR],45.05208333333333,106.51041666666667,1,1,2,0,1.694915254237288,0.0
8,Fred VanVleet [TOR],41.289198606271775,101.56794425087108,1,1,8,4,6.779661016949152,50.0
9,Pascal Siakam [TOR],55.032822757111596,118.38074398249452,1,1,16,5,13.559322033898304,31.25
10,Serge Ibaka [TOR],52.79429250891795,110.93935790725327,1,1,18,11,15.254237288135593,61.111111111111114
11,Kyle Lowry [TOR],41.25177809388336,103.84068278805121,1,1,24,6,20.338983050847457,25.0
12,Others [TOR],0.0,0.0,1,1,0,0,0.0,0.0
13,Danny Green [TOR],46.73202614379085,124.83660130718954,1,1,18,11,15.254237288135593,61.111111111111114
14,Kawhi Leonard [TOR],49.9546690843155,109.88213961922031,1,1,20,11,16.949152542372882,55.00000000000001
15,CJ Miles [TOR],35.483870967741936,92.1146953405018,2,2,1,0,0.6289308176100629,0.0
16,Delon Wright [TOR],43.12977099236641,95.22900763358778,2,2,1,0,0.6289308176100629,0.0
17,Marc Gasol [TOR],44.85981308411215,101.16822429906543,2,2,5,2,3.1446540880503147,40.0
18,Jeremy Lin [TOR],42.91417165668663,95.80838323353294,2,2,1,1,0.6289308176100629,100.0
19,Norman Powell [TOR],47.8494623655914,111.29032258064515,2,2,1,1,0.6289308176100629,100.0
20,Greg Monroe [TOR],49.09090909090909,98.7878787878788,2,2,1,1,0.6289308176100629,100.0
21,Jonas Valanciunas [TOR],55.787476280834916,114.04174573055028,2,2,8,4,5.031446540880503,50.0
22,OG Anunoby [TOR],45.05208333333333,106.51041666666667,2,2,2,1,1.2578616352201257,50.0
23,Fred VanVleet [TOR],41.289198606271775,101.56794425087108,2,2,8,3,5.031446540880503,37.5
24,Pascal Siakam [TOR],55.032822757111596,118.38074398249452,2,2,32,14,20.12578616352201,43.75
25,Serge Ibaka [TOR],52.79429250891795,110.93935790725327,2,2,27,14,16.9811320754717,51.85185185185185
26,Kyle Lowry [TOR],41.25177809388336,103.84068278805121,2,2,18,10,11.320754716981131,55.55555555555556
