,player,pl_acc,pl_pps,min_start,min_end,shots_count,shots_made,shots_freq,shots_acc
0,CJ Miles [TOR],35.483870967741936,92.1146953405018,1,2,1,0,0.36101083032490977,0.0
1,Delon Wright [TOR],43.12977099236641,95.22900763358778,1,2,1,0,0.36101083032490977,0.0
2,Marc Gasol [TOR],44.85981308411215,101.16822429906543,1,2,11,3,3.9711191335740073,27.27272727272727
3,Jeremy Lin [TOR],42.91417165668663,95.80838323353294,1,2,1,1,0.36101083032490977,100.0
4,Norman Powell [TOR],47.8494623655914,111.29032258064515,1,2,2,1,0.7220216606498195,50.0
5,Greg Monroe [TOR],49.09090909090909,98.7878787878788,1,2,2,2,0.7220216606498195,100.0
6,Jonas Valanciunas [TOR],55.787476280834916,114.04174573055028,1,2,12,7,4.332129963898917,58.333333333333336
7,OG Anunoby [TOR],45.05208333333333,106.51041666666667,1,2,4,1,1.444043321299639,25.0
8,Fred VanVleet [TOR],41.289198606271775,101.56794425087108,1,2,16,7,5.776173285198556,43.75
9,Pascal Siakam [TOR],55.032822757111596,118.38074398249452,1,2,48,19,17.32851985559567,39.58333333333333
10,Serge Ibaka [TOR],52.79429250891795,110.93935790725327,1,2,45,25,16.24548736462094,55.55555555555556
11,Kyle Lowry [TOR],41.25177809388336,103.84068278805121,1,2,42,16,15.16245487364621,38.095238095238095
12,Others [TOR],0.0,0.0,1,2,0,0,0.0,0.0
13,Danny Green [TOR],46.73202614379085,124.83660130718954,1,2,45,25,16.24548736462094,55.55555555555556
14,Kawhi Leonard [TOR],49.9546690843155,109.88213961922031,1,2,47,24,16.967509025270758,51.06382978723404
15,CJ Miles [TOR],35.483870967741936,92.1146953405018,3,4,0,0,0.0,0.0
16,Delon Wright [TOR],43.12977099236641,95.22900763358778,3,4,1,0,0.32051282051282054,0.0
17,Marc Gasol [TOR],44.85981308411215,101.16822429906543,3,4,16,9,5.128205128205129,56.25
18,Jeremy Lin [TOR],42.91417165668663,95.80838323353294,3,4,4,0,1.2820512820512822,0.0
19,Norman Powell [TOR],47.8494623655914,111.29032258064515,3,4,2,0,0.6410256410256411,0.0
20,Greg Monroe [TOR],49.09090909090909,98.7878787878788,3,4,1,1,0.32051282051282054,100.0
21,Jonas Valanciunas [TOR],55.787476280834916,114.04174573055028,3,4,12,4,3.8461538461538463,33.33333333333333
22,OG Anunoby [TOR],45.05208333333333,106.51041666666667,3,4,3,2,0.9615384615384616,66.66666666666666
23,Fred VanVleet [TOR],41.289198606271775,101.56794425087108,3,4,19,12,6.089743589743589,63.1578947368421
24,Pascal Siakam [TOR],55.032822757111596,118.38074398249452,3,4,62,31,19.871794871794872,50.0
25,Serge Ibaka [TOR],52.79429250891795,110.93935790725327,3,4,47,25,15.064102564102564,53.191489361702125
26,Kyle Lowry [TOR],41.25177809388336,103.84068278805121,3,4,30,12,9.615384615384615,40.0
27,Others [TOR],0.0,0.0,3,4,0,0,0.0,0.0
28,Danny Green [TOR],46.73202614379085,124.83660130718954,3,4,38,18,12.179487179487179,47.368421052631575
29,Kawhi Leonard [TOR],49.9546690843155,109.88213961922031,3,4,77,41,24.67948717948718,53.246753246753244
30,CJ Miles [TOR],35.483870967741936,92.1146953405018,5,6,0,0,0.0,0.0
31,Delon Wright [TOR],43.12977099236641,95.22900763358778,5,6,0,0,0.0,0.0
32,Marc Gasol [TOR],44.85981308411215,101.16822429906543,5,6,15,7,4.746835443037975,46.666666666666664
33,Jeremy Lin [TOR],42.91417165668663,95.80838323353294,5,6,0,0,0.0,0.0
34,Norman Powell [TOR],47.8494623655914,111.29032258064515,5,6,2,0,0.6329113924050633,0.0
35,Greg Monroe [TOR],49.09090909090909,98.7878787878788,5,6,4,3,1.2658227848101267,75.0
36,Jonas Valanciunas [TOR],55.787476280834916,114.04174573055028,5,6,12,8,3.7974683544303796,66.66666666666666
37,OG Anunoby [TOR],45.05208333333333,106.51041666666667,5,6,9,6,2.848101265822785,66.66666666666666
38,Fred VanVleet [TOR],41.289198606271775,101.56794425087108,5,6,18,12,5.69620253164557,66.66666666666666
39,Pascal Siakam [TOR],55.032822757111596,118.38074398249452,5,6,63,34,19.936708860759495,53.96825396825397
40,Serge Ibaka [TOR],52.79429250891795,110.93935790725327,5,6,54,32,17.088607594936708,59.25925925925925
41,Kyle Lowry [TOR],41.25177809388336,103.84068278805121,5,6,42,15,13.291139240506329,35.714285714285715
42,Others [TOR],0.0,0.0,5,6,0,0,0.0,0.0
43,Danny Green [TOR],46.73202614379085,124.83660130718954,5,6,36,21,11.39240506329114,58.333333333333336
44,Kawhi Leonard [TOR],49.9546690843155,109.88213961922031,5,6,61,26,19.303797468354432,42.62295081967213
45,CJ Miles [TOR],35.483870967741936,92.1146953405018,7,8,0,0,0.0,0.0
46,Delon Wright [TOR],43.12977099236641,95.22900763358778,7,8,1,1,0.33557046979865773,100.0
47,Marc Gasol [TOR],44.85981308411215,101.16822429906543,7,8,8,2,2.684563758389262,25.0
48,Jeremy Lin [TOR],42.91417165668663,95.80838323353294,7,8,6,0,2.0134228187919465,0.0
49,Norman Powell [TOR],47.8494623655914,111.29032258064515,7,8,3,3,1.0067114093959733,100.0
50,Greg Monroe [TOR],49.09090909090909,98.7878787878788,7,8,2,1,0.6711409395973155,50.0
51,Jonas Valanciunas [TOR],55.787476280834916,114.04174573055028,7,8,9,7,3.0201342281879193,77.77777777777779
52,OG Anunoby [TOR],45.05208333333333,106.51041666666667,7,8,5,4,1.6778523489932886,80.0
53,Fred VanVleet [TOR],41.289198606271775,101.56794425087108,7,8,20,8,6.7114093959731544,40.0
54,Pascal Siakam [TOR],55.032822757111596,118.38074398249452,7,8,55,31,18.456375838926174,56.36363636363636
55,Serge Ibaka [TOR],52.79429250891795,110.93935790725327,7,8,46,24,15.436241610738255,52.17391304347826
56,Kyle Lowry [TOR],41.25177809388336,103.84068278805121,7,8,38,15,12.751677852348994,39.473684210526315
57,Others [TOR],0.0,0.0,7,8,0,0,0.0,0.0
58,Danny Green [TOR],46.73202614379085,124.83660130718954,7,8,45,21,15.100671140939598,46.666666666666664
59,Kawhi Leonard [TOR],49.9546690843155,109.88213961922031,7,8,60,28,20.13422818791946,46.666666666666664
60,CJ Miles [TOR],35.483870967741936,92.1146953405018,9,10,7,2,2.422145328719723,28.57142857142857
61,Delon Wright [TOR],43.12977099236641,95.22900763358778,9,10,14,4,4.844290657439446,28.57142857142857
62,Marc Gasol [TOR],44.85981308411215,101.16822429906543,9,10,6,4,2.0761245674740483,66.66666666666666
63,Jeremy Lin [TOR],42.91417165668663,95.80838323353294,9,10,6,0,2.0761245674740483,0.0
64,Norman Powell [TOR],47.8494623655914,111.29032258064515,9,10,21,6,7.26643598615917,28.57142857142857
65,Greg Monroe [TOR],49.09090909090909,98.7878787878788,9,10,7,3,2.422145328719723,42.857142857142854
66,Jonas Valanciunas [TOR],55.787476280834916,114.04174573055028,9,10,8,6,2.7681660899653977,75.0
67,OG Anunoby [TOR],45.05208333333333,106.51041666666667,9,10,22,14,7.612456747404845,63.63636363636363
68,Fred VanVleet [TOR],41.289198606271775,101.56794425087108,9,10,27,9,9.342560553633218,33.33333333333333
69,Pascal Siakam [TOR],55.032822757111596,118.38074398249452,9,10,35,19,12.110726643598616,54.285714285714285
70,Serge Ibaka [TOR],52.79429250891795,110.93935790725327,9,10,41,27,14.186851211072664,65.85365853658537
71,Kyle Lowry [TOR],41.25177809388336,103.84068278805121,9,10,20,8,6.920415224913495,40.0
72,Others [TOR],0.0,0.0,9,10,7,1,2.422145328719723,14.285714285714285
73,Danny Green [TOR],46.73202614379085,124.83660130718954,9,10,26,12,8.996539792387543,46.15384615384615
74,Kawhi Leonard [TOR],49.9546690843155,109.88213961922031,9,10,42,26,14.53287197231834,61.904761904761905
75,CJ Miles [TOR],35.483870967741936,92.1146953405018,11,12,27,12,8.256880733944953,44.44444444444444
76,Delon Wright [TOR],43.12977099236641,95.22900763358778,11,12,23,8,7.033639143730887,34.78260869565217
77,Marc Gasol [TOR],44.85981308411215,101.16822429906543,11,12,3,1,0.9174311926605505,33.33333333333333
78,Jeremy Lin [TOR],42.91417165668663,95.80838323353294,11,12,21,9,6.422018348623853,42.857142857142854
79,Norman Powell [TOR],47.8494623655914,111.29032258064515,11,12,38,17,11.62079510703364,44.73684210526316
80,Greg Monroe [TOR],49.09090909090909,98.7878787878788,11,12,16,7,4.892966360856269,43.75
81,Jonas Valanciunas [TOR],55.787476280834916,114.04174573055028,11,12,17,10,5.198776758409786,58.82352941176471
82,OG Anunoby [TOR],45.05208333333333,106.51041666666667,11,12,28,10,8.562691131498472,35.714285714285715
83,Fred VanVleet [TOR],41.289198606271775,101.56794425087108,11,12,49,20,14.984709480122325,40.816326530612244
84,Pascal Siakam [TOR],55.032822757111596,118.38074398249452,11,12,25,16,7.6452599388379205,64.0
85,Serge Ibaka [TOR],52.79429250891795,110.93935790725327,11,12,38,16,11.62079510703364,42.10526315789473
86,Kyle Lowry [TOR],41.25177809388336,103.84068278805121,11,12,12,7,3.669724770642202,58.333333333333336
87,Others [TOR],0.0,0.0,11,12,11,5,3.363914373088685,45.45454545454545
88,Danny Green [TOR],46.73202614379085,124.83660130718954,11,12,11,5,3.363914373088685,45.45454545454545
89,Kawhi Leonard [TOR],49.9546690843155,109.88213961922031,11,12,8,3,2.4464831804281344,37.5
90,CJ Miles [TOR],35.483870967741936,92.1146953405018,13,14,23,10,7.958477508650519,43.47826086956522
91,Delon Wright [TOR],43.12977099236641,95.22900763358778,13,14,30,10,10.380622837370241,33.33333333333333
92,Marc Gasol [TOR],44.85981308411215,101.16822429906543,13,14,9,4,3.114186851211073,44.44444444444444
93,Jeremy Lin [TOR],42.91417165668663,95.80838323353294,13,14,7,3,2.422145328719723,42.857142857142854
94,Norman Powell [TOR],47.8494623655914,111.29032258064515,13,14,42,18,14.53287197231834,42.857142857142854
95,Greg Monroe [TOR],49.09090909090909,98.7878787878788,13,14,17,11,5.882352941176471,64.70588235294117
96,Jonas Valanciunas [TOR],55.787476280834916,114.04174573055028,13,14,14,9,4.844290657439446,64.28571428571429
97,OG Anunoby [TOR],45.05208333333333,106.51041666666667,13,14,45,21,15.570934256055363,46.666666666666664
98,Fred VanVleet [TOR],41.289198606271775,101.56794425087108,13,14,20,7,6.920415224913495,35.0
99,Pascal Siakam [TOR],55.032822757111596,118.38074398249452,13,14,19,9,6.57439446366782,47.368421052631575
100,Serge Ibaka [TOR],52.79429250891795,110.93935790725327,13,14,25,12,8.650519031141869,48.0
101,Kyle Lowry [TOR],41.25177809388336,103.84068278805121,13,14,11,3,3.8062283737024223,27.27272727272727
102,Others [TOR],0.0,0.0,13,14,14,6,4.844290657439446,42.857142857142854
103,Danny Green [TOR],46.73202614379085,124.83660130718954,13,14,6,2,2.0761245674740483,33.33333333333333
104,Kawhi Leonard [TOR],49.9546690843155,109.88213961922031,13,14,7,4,2.422145328719723,57.14285714285714
105,CJ Miles [TOR],35.483870967741936,92.1146953405018,15,16,25,6,8.064516129032258,24.0
106,Delon Wright [TOR],43.12977099236641,95.22900763358778,15,16,33,13,10.64516129032258,39.39393939393939
107,Marc Gasol [TOR],44.85981308411215,101.16822429906543,15,16,6,4,1.935483870967742,66.66666666666666
108,Jeremy Lin [TOR],42.91417165668663,95.80838323353294,15,16,6,3,1.935483870967742,50.0
109,Norman Powell [TOR],47.8494623655914,111.29032258064515,15,16,41,20,13.225806451612904,48.78048780487805
110,Greg Monroe [TOR],49.09090909090909,98.7878787878788,15,16,14,4,4.516129032258065,28.57142857142857
111,Jonas Valanciunas [TOR],55.787476280834916,114.04174573055028,15,16,20,14,6.451612903225806,70.0
112,OG Anunoby [TOR],45.05208333333333,106.51041666666667,15,16,32,16,10.32258064516129,50.0
113,Fred VanVleet [TOR],41.289198606271775,101.56794425087108,15,16,31,12,10.0,38.70967741935484
114,Pascal Siakam [TOR],55.032822757111596,118.38074398249452,15,16,18,10,5.806451612903226,55.55555555555556
115,Serge Ibaka [TOR],52.79429250891795,110.93935790725327,15,16,23,7,7.419354838709677,30.434782608695656
116,Kyle Lowry [TOR],41.25177809388336,103.84068278805121,15,16,17,4,5.483870967741935,23.52941176470588
117,Others [TOR],0.0,0.0,15,16,22,9,7.096774193548387,40.909090909090914
118,Danny Green [TOR],46.73202614379085,124.83660130718954,15,16,13,4,4.193548387096774,30.76923076923077
119,Kawhi Leonard [TOR],49.9546690843155,109.88213961922031,15,16,9,6,2.903225806451613,66.66666666666666
120,CJ Miles [TOR],35.483870967741936,92.1146953405018,17,18,15,8,4.966887417218543,53.333333333333336
121,Delon Wright [TOR],43.12977099236641,95.22900763358778,17,18,22,12,7.28476821192053,54.54545454545454
